platform,algorithm,baseline_package_id,device_model,soc,os_version,version,level,payload_profile,iteration_index,input_size,compressed_size,compression_ratio,compress_us,throughput_mbps,input_hash,compressed_output_hash,decompress_us,decompressed_output_hash,roundtrip_hash_match,roundtrip_byte_match,status
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,0,65536,3329,19.686392,168,372.023810,7545158f165814bb,115e52b2724a0970,146,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,1,65536,3329,19.686392,170,367.647059,7545158f165814bb,115e52b2724a0970,69,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,2,65536,3329,19.686392,165,378.787879,7545158f165814bb,115e52b2724a0970,180,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,3,65536,3329,19.686392,191,327.225131,7545158f165814bb,115e52b2724a0970,65,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,4,65536,3329,19.686392,238,262.605042,7545158f165814bb,115e52b2724a0970,188,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,0,262144,12455,21.047290,685,364.963504,5c1552df8030fce4,f012318f6074f626,520,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,1,262144,12455,21.047290,722,346.260388,5c1552df8030fce4,f012318f6074f626,288,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,2,262144,12455,21.047290,697,358.680057,5c1552df8030fce4,f012318f6074f626,314,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,3,262144,12455,21.047290,683,366.032211,5c1552df8030fce4,f012318f6074f626,273,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,4,262144,12455,21.047290,612,408.496732,5c1552df8030fce4,f012318f6074f626,295,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,0,1048576,49044,21.380312,2603,384.172109,5236623b1e38a3a3,5c3d46b13b31ff75,1356,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,1,1048576,49044,21.380312,2425,412.371134,5236623b1e38a3a3,5c3d46b13b31ff75,1210,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,2,1048576,49044,21.380312,2372,421.585160,5236623b1e38a3a3,5c3d46b13b31ff75,1338,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,3,1048576,49044,21.380312,2813,355.492357,5236623b1e38a3a3,5c3d46b13b31ff75,1083,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,pso_like,4,1048576,49044,21.380312,8008,124.875125,5236623b1e38a3a3,5c3d46b13b31ff75,1063,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,0,65536,7030,9.322333,166,376.506024,2772eb7b5d580d96,757bf933859218e5,39,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,1,65536,7030,9.322333,162,385.802469,2772eb7b5d580d96,757bf933859218e5,47,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,2,65536,7030,9.322333,170,367.647059,2772eb7b5d580d96,757bf933859218e5,42,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,3,65536,7030,9.322333,177,353.107345,2772eb7b5d580d96,757bf933859218e5,48,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,4,65536,7030,9.322333,164,381.097561,2772eb7b5d580d96,757bf933859218e5,36,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,0,262144,27866,9.407306,688,363.372093,dcf9578e5a22ffc3,3fa3de1e07c397c3,175,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,1,262144,27866,9.407306,711,351.617440,dcf9578e5a22ffc3,3fa3de1e07c397c3,228,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,2,262144,27866,9.407306,866,288.683603,dcf9578e5a22ffc3,3fa3de1e07c397c3,150,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,3,262144,27866,9.407306,742,336.927224,dcf9578e5a22ffc3,3fa3de1e07c397c3,171,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,4,262144,27866,9.407306,758,329.815303,dcf9578e5a22ffc3,3fa3de1e07c397c3,228,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,0,1048576,111478,9.406125,2899,344.946533,c8116c5bb5e46840,0e0bcec4e0bfa274,1110,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,1,1048576,111478,9.406125,3292,303.766707,c8116c5bb5e46840,0e0bcec4e0bfa274,695,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,2,1048576,111478,9.406125,2582,387.296669,c8116c5bb5e46840,0e0bcec4e0bfa274,1002,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,3,1048576,111478,9.406125,3494,286.204923,c8116c5bb5e46840,0e0bcec4e0bfa274,679,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,high_compressibility,4,1048576,111478,9.406125,2560,390.625000,c8116c5bb5e46840,0e0bcec4e0bfa274,704,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,0,65536,60210,1.088457,507,123.274162,3d44fc31249b7fea,7822edf615c4436c,359,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,1,65536,60210,1.088457,654,95.565749,3d44fc31249b7fea,7822edf615c4436c,209,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,2,65536,60210,1.088457,526,118.821293,3d44fc31249b7fea,7822edf615c4436c,201,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,3,65536,60210,1.088457,367,170.299728,3d44fc31249b7fea,7822edf615c4436c,200,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,4,65536,60210,1.088457,357,175.070028,3d44fc31249b7fea,7822edf615c4436c,195,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,0,262144,239969,1.092408,1329,188.111362,847d87b26df4af9b,8795b3f65cb5af6f,793,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,1,262144,239969,1.092408,1341,186.428039,847d87b26df4af9b,8795b3f65cb5af6f,786,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,2,262144,239969,1.092408,1327,188.394876,847d87b26df4af9b,8795b3f65cb5af6f,805,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,3,262144,239969,1.092408,1313,190.403656,847d87b26df4af9b,8795b3f65cb5af6f,833,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,4,262144,239969,1.092408,1321,189.250568,847d87b26df4af9b,8795b3f65cb5af6f,789,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,0,1048576,959556,1.092772,5286,189.178963,31bf0a2c90ad6cea,4114113511f8abf1,3241,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,1,1048576,959556,1.092772,5359,186.601978,31bf0a2c90ad6cea,4114113511f8abf1,3181,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,2,1048576,959556,1.092772,5449,183.519912,31bf0a2c90ad6cea,4114113511f8abf1,3282,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,3,1048576,959556,1.092772,5344,187.125749,31bf0a2c90ad6cea,4114113511f8abf1,3402,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-1-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,1,low_compressibility,4,1048576,959556,1.092772,5439,183.857327,31bf0a2c90ad6cea,4114113511f8abf1,5386,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,0,65536,2796,23.439199,524,119.274809,7545158f165814bb,e9a8baa36143332f,48,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,1,65536,2796,23.439199,505,123.762376,7545158f165814bb,e9a8baa36143332f,47,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,2,65536,2796,23.439199,509,122.789784,7545158f165814bb,e9a8baa36143332f,44,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,3,65536,2796,23.439199,482,129.668050,7545158f165814bb,e9a8baa36143332f,44,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,4,65536,2796,23.439199,481,129.937630,7545158f165814bb,e9a8baa36143332f,50,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,0,262144,9923,26.417817,1593,156.936598,5c1552df8030fce4,ee3a4d38822f1920,116,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,1,262144,9923,26.417817,1574,158.831004,5c1552df8030fce4,ee3a4d38822f1920,125,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,2,262144,9923,26.417817,1581,158.127767,5c1552df8030fce4,ee3a4d38822f1920,120,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,3,262144,9923,26.417817,1558,160.462131,5c1552df8030fce4,ee3a4d38822f1920,118,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,4,262144,9923,26.417817,2616,95.565749,5c1552df8030fce4,ee3a4d38822f1920,203,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,0,1048576,37141,28.232304,6678,149.745433,5236623b1e38a3a3,d619752251c2d646,524,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,1,1048576,37141,28.232304,6569,152.230172,5236623b1e38a3a3,d619752251c2d646,531,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,2,1048576,37141,28.232304,6569,152.230172,5236623b1e38a3a3,d619752251c2d646,534,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,3,1048576,37141,28.232304,6595,151.630023,5236623b1e38a3a3,d619752251c2d646,542,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-6-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,pso_like,4,1048576,37141,28.232304,6669,149.947518,5236623b1e38a3a3,d619752251c2d646,595,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,0,65536,6829,9.596720,659,94.840668,2772eb7b5d580d96,ee5739304ba4497a,38,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,1,65536,6829,9.596720,509,122.789784,2772eb7b5d580d96,ee5739304ba4497a,33,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,2,65536,6829,9.596720,499,125.250501,2772eb7b5d580d96,ee5739304ba4497a,35,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,3,65536,6829,9.596720,530,117.924528,2772eb7b5d580d96,ee5739304ba4497a,35,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,4,65536,6829,9.596720,713,87.657784,2772eb7b5d580d96,ee5739304ba4497a,49,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,0,262144,27169,9.648644,1826,136.911281,dcf9578e5a22ffc3,e68eaf6219f1de42,123,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,1,262144,27169,9.648644,1743,143.430866,dcf9578e5a22ffc3,e68eaf6219f1de42,122,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,2,262144,27169,9.648644,2207,113.275940,dcf9578e5a22ffc3,e68eaf6219f1de42,301,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,3,262144,27169,9.648644,1906,131.164743,dcf9578e5a22ffc3,e68eaf6219f1de42,149,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,4,262144,27169,9.648644,1790,139.664804,dcf9578e5a22ffc3,e68eaf6219f1de42,121,dcf9578e5a22ffc3,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,0,1048576,108681,9.648200,12061,82.911865,c8116c5bb5e46840,df2414c9386ed185,1092,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,1,1048576,108681,9.648200,7334,136.351241,c8116c5bb5e46840,df2414c9386ed185,530,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,2,1048576,108681,9.648200,7751,129.015611,c8116c5bb5e46840,df2414c9386ed185,507,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,3,1048576,108681,9.648200,7667,130.429112,c8116c5bb5e46840,df2414c9386ed185,519,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-6-high_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,high_compressibility,4,1048576,108681,9.648200,7548,132.485427,c8116c5bb5e46840,df2414c9386ed185,516,c8116c5bb5e46840,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,0,65536,59922,1.093688,1058,59.073724,3d44fc31249b7fea,53b5ca187d1b014c,200,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,1,65536,59922,1.093688,1082,57.763401,3d44fc31249b7fea,53b5ca187d1b014c,203,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,2,65536,59922,1.093688,1060,58.962264,3d44fc31249b7fea,53b5ca187d1b014c,198,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,3,65536,59922,1.093688,1098,56.921676,3d44fc31249b7fea,53b5ca187d1b014c,200,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,4,65536,59922,1.093688,1076,58.085502,3d44fc31249b7fea,53b5ca187d1b014c,203,3d44fc31249b7fea,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,0,262144,239333,1.095311,4383,57.038558,847d87b26df4af9b,d8459babe671f0ea,744,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,1,262144,239333,1.095311,4410,56.689342,847d87b26df4af9b,d8459babe671f0ea,754,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,2,262144,239333,1.095311,4401,56.805272,847d87b26df4af9b,d8459babe671f0ea,734,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,3,262144,239333,1.095311,4346,57.524160,847d87b26df4af9b,d8459babe671f0ea,731,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,4,262144,239333,1.095311,4338,57.630244,847d87b26df4af9b,d8459babe671f0ea,736,847d87b26df4af9b,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,0,1048576,958342,1.094156,23502,42.549570,31bf0a2c90ad6cea,af9f0907323e0de6,3149,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,1,1048576,958342,1.094156,23054,43.376421,31bf0a2c90ad6cea,af9f0907323e0de6,3107,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,2,1048576,958342,1.094156,22806,43.848110,31bf0a2c90ad6cea,af9f0907323e0de6,3111,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,3,1048576,958342,1.094156,24048,41.583500,31bf0a2c90ad6cea,af9f0907323e0de6,3274,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-6-low_compressibility-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,6,low_compressibility,4,1048576,958342,1.094156,21517,46.474880,31bf0a2c90ad6cea,af9f0907323e0de6,3113,31bf0a2c90ad6cea,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,0,65536,2413,27.159552,127189,0.491395,7545158f165814bb,f463f0c94744474d,56,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,1,65536,2413,27.159552,126470,0.494188,7545158f165814bb,f463f0c94744474d,54,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,2,65536,2413,27.159552,125314,0.498747,7545158f165814bb,f463f0c94744474d,50,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,3,65536,2413,27.159552,125495,0.498028,7545158f165814bb,f463f0c94744474d,47,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,4,65536,2413,27.159552,125629,0.497497,7545158f165814bb,f463f0c94744474d,46,7545158f165814bb,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,0,262144,8648,30.312673,523366,0.477677,5c1552df8030fce4,6d1e1d68d446480c,183,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,1,262144,8648,30.312673,524478,0.476664,5c1552df8030fce4,6d1e1d68d446480c,186,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,2,262144,8648,30.312673,523853,0.477233,5c1552df8030fce4,6d1e1d68d446480c,188,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,3,262144,8648,30.312673,523012,0.478001,5c1552df8030fce4,6d1e1d68d446480c,174,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-262144-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,4,262144,8648,30.312673,523256,0.477778,5c1552df8030fce4,6d1e1d68d446480c,172,5c1552df8030fce4,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,0,1048576,33602,31.205762,2095429,0.477229,5236623b1e38a3a3,e3960eab96d0487f,594,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,1,1048576,33602,31.205762,2104545,0.475162,5236623b1e38a3a3,e3960eab96d0487f,623,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,2,1048576,33602,31.205762,2094170,0.477516,5236623b1e38a3a3,e3960eab96d0487f,607,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,3,1048576,33602,31.205762,2093672,0.477630,5236623b1e38a3a3,e3960eab96d0487f,604,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-11-pso_like-1048576-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,pso_like,4,1048576,33602,31.205762,2094433,0.477456,5236623b1e38a3a3,e3960eab96d0487f,616,5236623b1e38a3a3,true,true,passed
iOS,brotli,compression-bench-brotli-11-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,high_compressibility,0,65536,6861,9.551960,102179,0.611672,2772eb7b5d580d96,fab640dda9942ac6,47,2772eb7b5d580d96,true,true,passed
iOS,brotli,compression-bench-brotli-11-high_compressibility-65536-v1,iOS Device,Apple Silicon,iOS,1.1.0,11,high_compressibility,1,65536,6861,9.551960,102206,0.611510,2772eb7b5d580d96,fab640dda9942ac6,45,2772eb7b5d580d96,true,true,passed
